systemName;region;route
usai;IA;I-29
usai;IA;I-35
usai;IA;I-74
usai;IA;I-80
usai;IA;I-129
usai;IA;I-235
usai;IA;I-280
usai;IA;I-380
usai;IA;I-480
usai;IA;I-680
usai;IA;I-880
usaus;IA;US6
usaus;IA;US18
usaus;IA;US20
usaus;IA;US30
usaus;IA;US34
usaus;IA;US52
usaus;IA;US59
usaus;IA;US61
usaus;IA;US63
usaus;IA;US65
usaus;IA;US67
usaus;IA;US69
usaus;IA;US71
usaus;IA;US75
usaus;IA;US77
usaus;IA;US136
usaus;IA;US151
usaus;IA;US169
usaus;IA;US218
usaus;IA;US275
usaia;IA;IA1
usaia;IA;IA2
usaia;IA;IA3
usaia;IA;IA4
usaia;IA;IA5
usaia;IA;IA7
usaia;IA;IA8
usaia;IA;IA9
usaia;IA;IA10
usaia;IA;IA12
usaia;IA;IA13
usaia;IA;IA14
usaia;IA;IA15
usaia;IA;IA16
usaia;IA;IA17
usaia;IA;IA21
usaia;IA;IA22
usaia;IA;IA23
usaia;IA;IA24
usaia;IA;IA25
usaia;IA;IA26
usaia;IA;IA27
usaia;IA;IA28
usaia;IA;IA31
usaia;IA;IA37
usaia;IA;IA38
usaia;IA;IA39
usaia;IA;IA44
usaia;IA;IA48
usaia;IA;IA51
usaia;IA;IA56
usaia;IA;IA57
usaia;IA;IA58
usaia;IA;IA60
usaia;IA;IA62
usaia;IA;IA64
usaia;IA;IA70
usaia;IA;IA76
usaia;IA;IA78
usaia;IA;IA81
usaia;IA;IA83
usaia;IA;IA85
usaia;IA;IA86
usaia;IA;IA92
usaia;IA;IA93
usaia;IA;IA96
usaia;IA;IA100
usaia;IA;IA110
usaia;IA;IA117
usaia;IA;IA122
usaia;IA;IA127
usaia;IA;IA128
usaia;IA;IA130
usaia;IA;IA136
usaia;IA;IA137
usaia;IA;IA139
usaia;IA;IA140
usaia;IA;IA141
usaia;IA;IA143
usaia;IA;IA144
usaia;IA;IA146
usaia;IA;IA148
usaia;IA;IA149
usaia;IA;IA150
usaia;IA;IA160
usaia;IA;IA163
usaia;IA;IA173
usaia;IA;IA175
usaia;IA;IA182
usaia;IA;IA183
usaia;IA;IA187
usaia;IA;IA188
usaia;IA;IA191
usaia;IA;IA202
usaia;IA;IA210
usaia;IA;IA212
usaia;IA;IA220
usaia;IA;IA224
usaia;IA;IA281
usaia;IA;IA316
usaia;IA;IA330
usaia;IA;IA333
usaia;IA;IA346
usaia;IA;IA415
usaia;IA;IA471
